repo_id,repo_type,level,file_count,total_size,total_size_str
deepghs/ccip,model,t0.0,18,2247923547,2.25 GB
deepghs/ml-danbooru-onnx,model,t0.0,11,1802558951,1.8 GB
deepghs/imgutils-models,model,t0.0,84,5378802768,5.38 GB
deepghs/wd14_tagger_with_embeddings,model,t0.0,62,6561758276,6.56 GB
deepghs/embedding_aligner,model,t0.0,122,1771001994,1.77 GB
deepghs/pixai-tagger-v0.9-onnx,model,t0.0,9,1272005679,1.27 GB
deepghs/deepgelbooru_onnx,model,t0.0,5,644992305,645 MB
deepghs/camie_tagger_onnx,model,t0.0,21,8413592013,8.41 GB
deepghs/anime_aesthetic,model,t0.0,59,2750779828,2.75 GB
deepghs/ccip_onnx,model,t0.0,122,3526446008,3.53 GB
deepghs/paddleocr,model,t0.0,48,527437777,527 MB
deepghs/bangumi_char_type,model,t0.0,30,375022543,375 MB
deepghs/anime_classification,model,t0.0,267,4180210557,4.18 GB
deepghs/anime_dbrating,model,t0.0,44,1164387044,1.16 GB
deepghs/anime_teen,model,t0.0,28,369592460,370 MB
deepghs/anime_style_ages,model,t0.0,36,407500324,408 MB
deepghs/anime_completeness,model,t0.0,130,2372142625,2.37 GB
deepghs/monochrome_detect,model,t0.0,82,1434479081,1.43 GB
deepghs/anime_portrait,model,t0.0,41,399978749,400 MB
deepghs/anime_furry,model,t0.0,28,403402624,403 MB
deepghs/anime_rating,model,t0.0,80,1604976885,1.6 GB
deepghs/anime_real_cls,model,t0.0,209,3850942695,3.85 GB
deepghs/anime_ai_check,model,t0.0,52,764042527,764 MB
deepghs/cdc_anime_onnx,model,t0.0,5,479013047,479 MB
deepghs/image_restoration,model,t0.0,10,2219586370,2.22 GB
deepghs/anime_person_detection,model,t0.0,96,1168404953,1.17 GB
deepghs/text_detection,model,t0.0,44,617736869,618 MB
deepghs/booru_yolo,model,t0.0,33,887503914,888 MB
deepghs/anime_hand_detection,model,t0.0,127,648812163,649 MB
deepghs/anime_eye_detection,model,t0.0,109,561800624,562 MB
deepghs/anime_face_detection,model,t0.0,123,501909416,502 MB
deepghs/anime_head_detection,model,t0.0,786,6236983485,6.24 GB
deepghs/nudenet_onnx,model,t0.0,4,12154919,12.2 MB
deepghs/anime_halfbody_detection,model,t0.0,61,290462407,290 MB
deepghs/anime_censor_detection,model,t0.0,73,360146995,360 MB
deepghs/idolsankaku_tagger_with_embeddings,model,t0.0,13,1638990079,1.64 GB
deepghs/idolsankaku-eva02-large-tagger-v1,model,t0.0,8,3639633352,3.64 GB
deepghs/idolsankaku-swinv2-tagger-v1,model,t0.0,8,1141849386,1.14 GB
deepghs/clip_onnx,model,t0.0,23,4643039164,4.64 GB
deepghs/siglip_onnx,model,t0.0,43,13507029455,13.5 GB
deepghs/dinov2_onnx,model,t0.0,23,2519905814,2.52 GB
deepghs/insightface,model,t0.0,44,521644534,522 MB
deepghs/real_person_detection,model,t0.0,130,863815655,864 MB
deepghs/yolos,model,t0.0,134,5322807765,5.32 GB
deepghs/real_face_detection,model,t0.0,162,938079586,938 MB
deepghs/real_head_detection,model,t0.0,131,863108193,863 MB
deepghs/yolo-face,model,t0.0,54,1425572240,1.43 GB
deepghs/chafen_arknights,dataset,t0.0,3,58970558,59 MB
deepghs/anime-bg,dataset,t0.0,13,8714148378,8.71 GB
T0.0,,,3848,112007086581,104.3 GB
,,,,,
deepghs/eattach_monochrome_experiments,model,t0.1,46,84992389,85 MB
deepghs/timms_mobilenet,model,t0.1,105,1214092054,1.21 GB
deepghs/segs,model,t0.1,101,764054063,764 MB
deepghs/character_index,dataset,t0.1,45031,20088106912,20.1 GB
deepghs/anime_ch_skin_color,model,t0.2,30,377948630,378 MB
deepghs/anime_ch_hair_color,model,t0.2,52,1042462827,1.04 GB
deepghs/anime_ch_eye_color,model,t0.2,32,686618973,687 MB
deepghs/anime_ch_hair_length,model,t0.2,38,689379362,689 MB
deepghs/anime_ch_ear,model,t0.2,32,783017353,783 MB
deepghs/anime_ch_horn,model,t0.2,52,736473352,736 MB
deepghs/animefull-latest,model,t0.2,18,5483046837,5.48 GB
deepghs/animefull-latest-ckpt,model,t0.2,5,8526634756,8.53 GB
deepghs/waifu2x_onnx,model,t0.2,399,4172174859,4.17 GB
deepghs/ai_image_corrupted,model,t0.2,38,678404058,678 MB
deepghs/wd14_convnextv2_for_index,model,t0.2,2,387821986,388 MB
deepghs/rgt_upscaler_onnx,model,t0.2,4,380740919,381 MB
deepghs/whisper-medium-fleurs-lang-id-onnx,model,t0.2,5,1230404075,1.23 GB
deepghs/whisper-base-ft-common-language-id-onnx,model,t0.2,5,83036477,83 MB
deepghs/whisper-small-ft-common-language-id-onnx,model,t0.2,5,353645055,354 MB
deepghs/pyannote-embedding-onnx,model,t0.2,3,17633854,17.6 MB
deepghs/silero-vad-onnx,model,t0.2,4,3609717,3.61 MB
deepghs/silero-lang95-onnx,model,t0.2,5,16978671,17 MB
deepghs/wd14_tagger_embedding_denormalize,model,t0.2,122,1771001994,1.77 GB
deepghs/anime_sites_indices,model,t0.2,54,61715324407,61.7 GB
deepghs/manga109_yolo,model,t0.2,259,2077794361,2.08 GB
deepghs/jpeg_webp-fixer,model,t0.2,4,47424227,47.4 MB
deepghs/timms,model,t0.2,3420,237928058090,238 GB
deepghs/yolo-person,model,t0.2,6,18475815,18.5 MB
deepghs/eattach_sankaku_rating,model,t0.2,13,29133833,29.1 MB
deepghs/siglip_beta,model,t0.2,17,2362811592,2.36 GB
deepghs/AnimeText_yolo,model,t0.2,81,717881907,718 MB
t0,,,53836,466476269986,434.4 GB
,,,,,
deepghs/monochrome_danbooru,dataset,t1.0,3,377314258,377 MB
deepghs/character_similarity,dataset,t1.0,9,50619979646,50.6 GB
deepghs/anime_classification,dataset,t1.0,3,2230127001,2.23 GB
deepghs/anime_rating,dataset,t1.0,6,12254291762,12.3 GB
deepghs/anime_face_detection,dataset,t1.0,12,5672483485,5.67 GB
deepghs/anime_ai_check,dataset,t1.0,3,1167909814,1.17 GB
deepghs/anime_censor_detection,dataset,t1.0,6,3848433287,3.85 GB
deepghs/anime_head_detection,dataset,t1.0,11,17808004896,17.8 GB
deepghs/anime_person_detection,dataset,t1.0,8,3767871364,3.77 GB
deepghs/anime_ch_sex,dataset,t1.0,5,4334281101,4.33 GB
deepghs/anime_ch_skin_color,dataset,t1.0,4,4120641451,4.12 GB
deepghs/anime_ch_hair_color,dataset,t1.0,4,3798830092,3.8 GB
deepghs/anime_ch_eye_color,dataset,t1.0,4,4116150122,4.12 GB
deepghs/anime_ch_hair_length,dataset,t1.0,4,2832280996,2.83 GB
deepghs/anime_ch_ear,dataset,t1.0,4,5878227673,5.88 GB
deepghs/anime_ch_horn,dataset,t1.0,4,3368038241,3.37 GB
deepghs/anime_halfbody_detection,dataset,t1.0,6,1948404249,1.95 GB
deepghs/anime_teen,dataset,t1.0,3,978595334,979 MB
deepghs/anime_eye_detection,dataset,t1.0,5,2600483959,2.6 GB
deepghs/anime_portrait,dataset,t1.0,3,5449360413,5.45 GB
deepghs/ai_image_corrupted,dataset,t1.0,3,4625385553,4.63 GB
deepghs/anime_style_ages,dataset,t1.0,3,4132275789,4.13 GB
deepghs/bangumi_char_type,dataset,t1.0,3,4407962306,4.41 GB
deepghs/anime_real_cls,dataset,t1.0,3,10208216579,10.2 GB
deepghs/anime_aesthetic,dataset,t1.0,10,68185772585,68.2 GB
deepghs/anime_dbrating,dataset,t1.0,5,67854258353,67.9 GB
deepghs/anime_furry,dataset,t1.0,2,10692226528,10.7 GB
deepghs/anime_textblock_detection_test,dataset,t1.0,39,303034032433,303 GB
deepghs/real_face_detection,dataset,t1.0,2,1835457390,1.84 GB
deepghs/real_head_detection,dataset,t1.0,7,25032044044,25 GB
deepghs/real_person_detection,dataset,t1.0,2,3621381252,3.62 GB
deepghs/objects365_yolo,dataset,t1.0,31,160723251433,161 GB
deepghs/AnimeText,dataset,t1.0,23,169571208797,170 GB
deepghs/swinv2_v3_embarrs,dataset,t1.0,113,453140306144,453 GB
deepghs/index_experiments,model,t1.0,290,374624624223,375 GB
T1.0,,,643,1798860112553,1.636 TB
,,,,,
deepghs/artists_index,dataset,t1.1,3,115665227,116 MB
deepghs/fancaps_index,dataset,t1.1,5,489812621,490 MB
deepghs/danbooru2023_index,dataset,t1.1,2013,1030986748,1.03 GB
deepghs/yandere2023_index,dataset,t1.1,976,133989721,134 MB
deepghs/danbooru2023-webp-4Mpixel_index,dataset,t1.1,3022,1075190737,1.08 GB
deepghs/fgo_voices_index,dataset,t1.1,4,13905750,13.9 MB
deepghs/azurlane_voices_index,dataset,t1.1,4,14651097,14.7 MB
deepghs/girlsfrontline_voices_index,dataset,t1.1,4,5262494,5.26 MB
deepghs/danbooru_newest_index,dataset,t1.1,6,1750387395,1.75 GB
deepghs/gelbooru_index,dataset,t1.1,12,4895028393,4.9 GB
deepghs/pixiv_index,dataset,t1.1,14,1438784087,1.44 GB
deepghs/yande_index,dataset,t1.1,6,457839377,458 MB
deepghs/konachan_index,dataset,t1.1,6,138488846,138 MB
deepghs/e621-2024_index,dataset,t1.1,1003,582441654,582 MB
deepghs/zerochan_index,dataset,t1.1,5,1150679488,1.15 GB
deepghs/e621_index,dataset,t1.1,16,5457033334,5.46 GB
deepghs/kemono_index,dataset,t1.1,74,13856958945,13.9 GB
deepghs/coomer_index,dataset,t1.1,274,20415282085,20.4 GB
deepghs/e621-2024-webp-4Mpixel_index,dataset,t1.1,1003,559709101,560 MB
deepghs/midjourney_captioned_23m_index,dataset,t1.1,7,18021893103,18 GB
deepghs/gt2likes_captioned_8m_index,dataset,t1.1,3,1165098608,1.17 GB
deepghs/reddit_mostlyhumans_index,dataset,t1.1,3,176153156,176 MB
deepghs/rule34_index,dataset,t1.1,12,5708028383,5.71 GB
